díogach,diːɡəx
corróg,kɔrˠɔɡ
sioc-cheo,sɔːk-xɔː
slat,slat
geimhleach,ɡɛɪvlæx
baitíneach,baːtɪnæx
neamhchúthail,nævxʊhaːl
creig-ghairdín,krɛɪɡ-ɣaːrdɪn
castaíocht,kastaːɔxt
giombal,ɡɔːmbal
cróicín,krɔɪkɪn
allatróp,alˠatrɔp
nap,nap
méan,mɛan
lánfhada,lanada
rufachán,rʊfaxan
taibhsiúlacht,taːvsɪʊlaxt
roinn,rɪːnˠ
fios,fɔːs
micreacnamaíocht,mɪkræknamaːɔxt
deann,dænˠ
eachtrannach,æxtranˠax
cailicín,kaːlɪkɪn
leathdhéanach,læhɣɛanax
atíolacadh,atɪɔlakaɣ
slatach,slatax
leadhbóg,læɣbɔɡ
neamh-aireach,næv-aːræx
méaracht,mɛaraxt
tíosach,tɪɔsax
gáitéar,ɡaɪtɛar
tríphistileach,trɪfɪstɪlæx
créitín,krɛɪtɪn
amhscarthanach,avskarhanax
taispeántóir,taːspǽntɔɪr
rámhaille,ravaːlˠɛ
sríoc,srɪɔk
athchoirt,ahxɪːrt
láimhsiú,laɪvsɪʊ
tionóntán,tɔːnɔntan
maoscail,maɔskaːl
sparrachroch,sparˠaxrɔx
téachtán,tɛaxtan
béal-láidir,bɛal-laɪdɪr
éascaigh,ɛaskaːɣ
fordhroim,fɔrɣrɪːm
griothalánach,ɡrɔːhalanax
seamsóg,sæmsɔɡ
sóch,sɔx
draeinphíobán,draɛɪnfɪɔban
geilleagar,ɡɛɪlˠæɡar
hidriginigh,hɪdrɪɡɪnɪɣ
spíonadóir,spɪɔnadɔɪr
bágh,baɣ
bóiricín,bɔɪrɪkɪn
frasach,frasax
néaralú,nɛaralʊ
deasóg,dæsɔɡ
triantánach,trɪantanax
blas,blas
faobhrach,faɔvrax
filleachán,fɪlˠæxan
conraitheoir,kɔnraːhɔːɪr
sraonaire,sraɔnaːrɛ
baclámh,baklav
clannaigh,klanˠaːɣ
corrchothroime,kɔrˠxɔhrɪːmɛ
borrán,bɔrˠan
fabhraíoch,favraːɔx
Íoslannach,íɔslanˠax
cúnantaí,kʊnantaː
bocaí,bɔkaː
móilíneach,mɔɪlɪnæx
craplaigh,kraplaːɣ
gulba,ɡʊlba
urchall,ʊrxalˠ
trodach,trɔdax
corandam,kɔrandam
colach,kɔlax
fionnuar,fɔːnˠʊər
naomhaí,naɔvaː
sprochaille,sprɔxaːlˠɛ
laochasach,laɔxasax
eanglamtha,ænɡlamha
picil,pɪkɪl
normalú,nɔrmalʊ
mallradharcach,malˠraɣarkax
fill,fɪlˠ
gangaideach,ɡanɡaːdæx
friochanta,frɔːxanta
foracan,fɔrakan
piriteicniúil,pɪrɪtɛɪknɪʊɪl
mionchothaitheach,mɔːnxɔhaːhæx
oidhreachtúlacht,ɪːɣræxtʊlaxt
clogarán,klɔɡaran
síobthomhas,sɪɔbhɔvas
ceapachóir,kæpaxɔɪr
lámhléim,lavlɛɪm
corrfhiacail,kɔrˠɪakaːl
ardcheannach,ardxænˠax
ionsaigh,ɔːnsaːɣ
corrach,kɔrˠax
anairt,anaːrt
oirniú,ɪːrnɪʊ
glórach,ɡlɔrax
seabhdar,sævdar
ionbhár,ɔːnvar
critíc,krɪtɪk
téarnaigh,tɛarnaːɣ
taibhsigh,taːvsɪɣ
sleamchúis,slæmxʊɪs
laomtha,laɔmha
líneálach,lɪnǽlax
leathbhéal,læhvɛal
frithsheasmhacht,frɪhhæsvaxt
isileictreach,ɪsɪlɛɪktræx
teallúiriam,tælˠʊɪrɪam
féinbheartach,fɛɪnværtax
tinneallach,tɪnˠælˠax
sicfhéar,sɪkɛar
teampall,tæmpalˠ
néiriad,nɛɪrɪad
caill,kaːlˠ
buirgéiseach,bʊɪrɡɛɪsæx
céatadán,kɛatadan
túsaigh,tʊsaːɣ
ocras,ɔkras
mionrabh,mɔːnrav
ceiribíneach,kɛɪrɪbɪnæx
bús,bʊs
smúr,smʊr
éireog,ɛɪrɔːɡ
spleodrach,splɔːdrax
sprúill,sprʊɪlˠ
bústa,bʊsta
príomhphearsa,prɪɔvfærsa
céilsine,kɛɪlsɪnɛ
seacál,sækal
fostúch,fɔstʊx
snua-ungadh,snʊə-ʊnɡaɣ
éanúil,ɛanʊɪl
bata,bata
salachar,salaxar
ceibeabáil,kɛɪbæbaɪl
srathaireacht,srahaːræxt
clóscríbhneoireacht,klɔskrɪvnɔːɪræxt
smúrabhán,smʊravan
teitreachorda,tɛɪtræxɔrda
teile,tɛɪlɛ
eisíocaíocht,ɛɪsɪɔkaːɔxt
liath,lɪah
dogadáil,dɔɡadaɪl
calmacht,kalmaxt
spícín,spɪkɪn
maisealaca,maːsælaka
anaemach,anaɛmax
banscriú,banskrɪʊ
gannchúis,ɡanˠxʊɪs
cranda,kranda
Agaistíneach,aɡaːstɪnæx
míogach,mɪɔɡax
mionairgead,mɔːnaːrɡæd
glam,ɡlam
creic,krɛɪk
rinnfheifeach,rɪnˠɛɪfæx
smaointeacht,smaɪːntæxt
ciamhaire,kɪavaːrɛ
coilíneacht,kɪːlɪnæxt
crómafór,krɔmafɔr
fuilchoirpín,fʊɪlxɪːrpɪn
rac,rak
luascán,lʊəskan
casdlaoi,kasdlaɪː
stiúrú,stɪʊrʊ
céasta,kɛasta
nuafhaiseanta,nʊəaːsænta
sceall,skælˠ
diabhlaíocht,dɪavlaːɔxt
easmailt,æsmaːlt
jeaimeáil,jæːmǽɪl
brífhocal,brɪɔkal
inneallbhainte,ɪnˠælˠvaːntɛ
tionsclach,tɔːnsklax
bóisceálach,bɔɪskǽlax
bunoideachas,bʊnɪːdæxas
garbh-bhéal,ɡarv-vɛal
ubhán,ʊvan
leictrigh,lɛɪktrɪɣ
Albáinis,albaɪnɪs
líomatáiste,lɪɔmataɪstɛ
crócharnaid,krɔxarnaːd
ceannbhalla,kænˠvalˠa
plútacrat,plʊtakrat
Veindéach,vɛɪndɛax
carbh,karv
foclóireolaíocht,fɔklɔɪrɔːlaːɔxt
Fionlainnis,fɔːnlaːnˠɪs
bobaire,bɔbaːrɛ
glámach,ɡlamax
téagar,tɛaɡar
díshamhlaigh,dɪhavlaːɣ
lacailit,lakaːlɪt
réamhthús,rɛavhʊs
blaoscadh,blaɔskaɣ
Gael,gaɛl
rufa,rʊfa
damantacht,damantaxt
dual,dʊəl
gnáthchaitheamh,ɡnahxaːhæv
riseamorfach,rɪsæmɔrfax
cipeadraíl,kɪpædraːl
micsimícéit,mɪksɪmɪkɛɪt
teith,tɛɪh
ciúnadóir,kɪʊnadɔɪr
stálaigh,stalaːɣ
fornasc,fɔrnask
tarraingí,tarˠaːnɡɪ
urchuil,ʊrxʊɪl
dubhoighear,dʊvɪːɣær
buí,bʊɪ
srúill,srʊɪlˠ
marcach,markax
cóisir,kɔɪsɪr
lumbágó,lʊmbaɡɔ
cúnaigh,kʊnaːɣ
ilíocht,ɪlɪɔxt
Seapáinis,sæpaɪnɪs
armghéag,armɣɛaɡ
starrach,starˠax
gothaíocht,ɡɔhaːɔxt
fódmhar,fɔdvar
sprúilleog,sprʊɪlˠɔːɡ
spasmacht,spasmaxt
dileagla,dɪlæɡla
brionglóid,brɔːnɡlɔɪd
nuachtscannán,nʊəxtskanˠan
sligreach,slɪɡræx
suaitheanta,sʊəːhænta
broidearnúil,brɪːdærnʊɪl
lóistéir,lɔɪstɛɪr
leathuair,læhʊəːr
meathgháire,mæhɣaɪrɛ
ruathar,rʊəhar
rum,rʊm
iarratas,ɪarˠatas
stuachloch,stʊəxlɔx
ruainne,rʊəːnˠɛ
amscála,amskala
stuamacht,stʊəmaxt
craobhscaoil,kraɔvskaɪːl
dearbhchló,dærvxlɔ
madraíocht,madraːɔxt
cráitéar,kraɪtɛar
aililiú,aːlɪlɪʊ
taifeadadh,taːfædaɣ
saoithíneacht,saɪːhɪnæxt
taisdíon,taːsdɪɔn
greagnaigh,ɡræɡnaːɣ
stopachán,stɔpaxan
scadhrach,skaɣrax
glacadóireacht,ɡlakadɔɪræxt
drochshláinteach,drɔxhlaɪntæx
poigheachán,pɪːɣæxan
cnámhleisce,knavlɛɪskɛ
gearrachán,ɡærˠaxan
athchomhairle,ahxɔvaːrlɛ
barrithir,barˠɪhɪr
iarfhaighte,ɪaraːɣtɛ
loic,lɪːk
astar,astar
úcaireacht,ʊkaːræxt
lachóigín,laxɔɪɡɪn
cnag,knaɡ
íostaobh,ɪɔstaɔv
treamhnaigh,trævnaːɣ
míméagraf,mɪmɛaɡraf
pliúrainiúmóine,plɪʊraːnɪʊmɔɪnɛ
colaicisteachtóime,kɔlaːkɪstæxtɔɪmɛ
pairhéilean,paːrhɛɪlæn
eiseach,ɛɪsæx
deisiú,dɛɪsɪʊ
rothdhiosca,rɔhɣɔːska
faladhúdaí,falaɣʊdaː
nathaí,nahaː
réamhscéal,rɛavskɛal
bualtaigh,bʊəltaːɣ
líobóideacht,lɪɔbɔɪdæxt
fáschíle,fasxɪlɛ
prochógach,prɔxɔɡax
meamhlachán,mævlaxan
scáfar,skafar
fadmhuineálach,fadvʊɪnǽlax
maisuimhir,maːsʊɪvɪr
grafán,ɡrafan
aldóláis,aldɔlaɪs
sníomhachán,snɪɔvaxan
forluiteacht,fɔrlʊɪtæxt
scrioptúrtha,skrɔːptʊrha
mealltach,mælˠtax
fosú,fɔsʊ
Lochlannach,lɔxlanˠax
ilcheallach,ɪlxælˠax
daorbhacach,daɔrvakax
cloíteoir,klɪːtɔːɪr
neamhchúramach,nævxʊramax
púitseáil,pʊɪtsǽɪl
cúnantaigh,kʊnantaːɣ
sícinéaróis,sɪkɪnɛarɔɪs
Slóvacach,slɔvakax
crobhán,krɔvan
scaradóir,skaradɔɪr
puinseáil,pʊɪnsǽɪl
Nua-Ghall,nʊə-ghalˠ
deasú,dæsʊ
marsúipiach,marsʊɪpɪax
scragallach,skraɡalˠax
gaothluchtaire,ɡaɔhlʊxtaːrɛ
áilíosach,aɪlɪɔsax
stumpáil,stʊmpaɪl
daorlíne,daɔrlɪnɛ
athaimsigh,ahaːmsɪɣ
cairíne,kaːrɪnɛ
toghraim,tɔɣraːm
dearnadóir,dærnadɔɪr
corónach,kɔrɔnax
forchoimhéad,fɔrxɪːvɛad
iomard,ɔːmard
broncas,brɔnkas
lúman,lʊman
brisiúnas,brɪsɪʊnas
neamhéilithe,nævɛɪlɪhɛ
cileavata,kɪlævata
campálaí,kampalaː
aontumha,aɔntʊva
géillphointe,ɡɛɪlˠfɪːntɛ
cuarlíneach,kʊərlɪnæx
foilsitheoireacht,fɪːlsɪhɔːɪræxt
réamhaithris,rɛavaːhrɪs
cógaseolaíocht,kɔɡasɔːlaːɔxt
stóchúil,stɔxʊɪl
daonscoil,daɔnskɪːl
seileach,sɛɪlæx
nóibhilléad,nɔɪvɪlˠɛad
cearbh,kærv
tríomarán,trɪɔmaran
compún,kɔmpʊn
breacáireamh,brækaɪræv
forchló,fɔrxlɔ
fomhuirí,fɔvʊɪrɪ
cleipteamáine,klɛɪptæmaɪnɛ
aracnóideach,araknɔɪdæx
deargnocht,dærɡnɔxt
ól,ɔl
inimirce,ɪnɪmɪrkɛ
sonnach,sɔnˠax
dobhracht,dɔvraxt
dochma,dɔxma
fothaispeántas,fɔhaːspǽntas
glasphéarlach,ɡlasfɛarlax
ámharach,avarax
príomhchinnire,prɪɔvxɪnˠɪrɛ
scoilteadh,skɪːltæɣ
frithiontráil,frɪhɔːntraɪl
fótashamhail,fɔtahavaːl
meilteoir,mɛɪltɔːɪr
éideafón,ɛɪdæfɔn
téipthaifeadán,tɛɪphaːfædan
teagasc,tæɡask
biostúr,bɔːstʊr
fulangach,fʊlanɡax
scóradh,skɔraɣ
muc,mʊk
sarcómach,sarkɔmax
aimhleisciúil,aːvlɛɪskɪʊɪl
díolghadhach,dɪɔlɣaɣax
cinsiriúil,kɪnsɪrɪʊɪl
sorthan,sɔrhan
beagmhéid,bæɡvɛɪd
fadhbh,faɣv
marbh,marv
beannachtach,bænˠaxtax
fochallach,fɔxalˠax
fótachóipeálaí,fɔtaxɔɪpǽlaː
hiditid,hɪdɪtɪd
traidisiúnaí,traːdɪsɪʊnaː
díomhaoineach,dɪɔvaɪːnæx
fadscríob,fadskrɪɔb
rama,rama
pirimid,pɪrɪmɪd
éacúiméineachas,ɛakʊɪmɛɪnæxas
sculcaireacht,skʊlkaːræxt
ocrach,ɔkrax
Viseagotach,vɪsæɡɔtax
blocshliabh,blɔxlɪav
goraí,ɡɔraː
fadcheannaitheach,fadxænˠaːhæx
scóna,skɔna
coilichín,kɪːlɪxɪn
póidiam,pɔɪdɪam
cniotálaí,knɔːtalaː
cruth,krʊh
clingireacht,klɪnɡɪræxt
dáileoir,daɪlɔːɪr
deoirfhliuch,dɔːɪrlɪʊx
mísheasmhach,mɪhæsvax
ionnail,ɔːnˠaːl
ciall,kɪalˠ
hiostaimín,hɔːstaːmɪn
ingear,ɪnɡær
ardéacht,ardɛaxt
clársheoltóireacht,klarhɔːltɔɪræxt
tuinairde,tʊɪnaːrdɛ
guairille,ɡʊəːrɪlˠɛ
sciathlúireach,skɪahlʊɪræx
suaimhnigh,sʊəːvnɪɣ
toghchóras,tɔɣxɔras
tonnchruth,tɔnˠxrʊh
imthreascair,ɪmhræskaːr
míshláintiúil,mɪhlaɪntɪʊɪl
mioneangach,mɔːnænɡax
boglach,bɔɡlax
sleamhaine,slævaːnɛ
leacht,læxt
faill,faːlˠ
caomhantas,kaɔvantas
aicne,aːknɛ
pálás,palas
céimleasc,kɛɪmlæsk
bac-chosach,bak-xɔsax
duivé,dʊɪvɛ
urghráinigh,ʊrɣraɪnɪɣ
drúiseach,drʊɪsæx
míoleolaíoch,mɪɔlɔːlaːɔx
seanchleachtadh,sænxlæxtaɣ
cairpéad,kaːrpɛad
amfaimiscis,amfaːmɪskɪs
iomaire,ɔːmaːrɛ
aeróbach,aɛrɔbax
méiniúlacht,mɛɪnɪʊlaxt
cuimilt,kʊɪmɪlt
tagarmharcáil,taɡarvarkaɪl
neamhchorrabhuais,nævxɔrˠavʊəːs
cónaidhmeach,kɔnaːɣmæx
smealt,smælt
neamhoibríoch,nævɪːbrɪɔx
beagthairbhe,bæɡhaːrvɛ
fáiteallaí,faɪtælˠaː
inbhraite,ɪnvraːtɛ
cumhachtaigh,kʊvaxtaːɣ
rabh,rav
ceathrúnach,kæhrʊnax
mímhoráltacht,mɪvɔraltaxt
íorna,ɪɔrna
crochán,krɔxan
cíoná,kɪɔna
údar,ʊdar
áiritheoir,aɪrɪhɔːɪr
goisteacht,ɡɪːstæxt
ionsúigh,ɔːnsʊɪɣ
éaglann,ɛaɡlanˠ
bruachalán,brʊəxalan
líne,lɪnɛ
foroinn,fɔrɪːnˠ
leochaileach,lɔːxaːlæx
aolghealadh,aɔlɣælaɣ
concordáid,kɔnkɔrdaɪd
mí-ionraic,mɪ-ɔːnraːk
militeach,mɪlɪtæx
aerbhrat,aɛrvrat
óiriad,ɔɪrɪad
cruit,krʊɪt
muinteartha,mʊɪntærha
dea-thuairisc,dæ-hʊəːrɪsk
beochán,bɔːxan
mórmhuir,mɔrvʊɪr
ithirchrios,ɪhɪrxrɔːs
carraeir,karˠaɛɪr
díobh,dɪɔv
acairíneach,akaːrɪnæx
maothgháire,maɔhɣaɪrɛ
radaigineach,radaːɡɪnæx
sastrúga,sastrʊɡa
locáil,lɔkaɪl
leathach,læhax
comhdhlúth,kɔvɣlʊh
ruithnigh,rʊɪhnɪɣ
réabán,rɛaban
Cairmilíteach,caːrmɪlɪtæx
diúscairt,dɪʊskaːrt
mionsraith,mɔːnsraːh
falcaire,falkaːrɛ
imtheorannú,ɪmhɔːranˠʊ
uingeach,ʊɪnɡæx
luimneach,lʊɪmnæx
fual-lamhnán,fʊəl-lavnan
cuachadh,kʊəxaɣ
gríobh,ɡrɪɔv
blagaid,blaɡaːd
leibidínteacht,lɛɪbɪdɪntæxt
léibheann,lɛɪvænˠ
leithreasaigh,lɛɪhræsaːɣ
dáileach,daɪlæx
baraiseismeach,baraːsɛɪsmæx
méadláil,mɛadlaɪl
brúchneá,brʊxnǽ
geirspota,ɡɛɪrspɔta
rothadóir,rɔhadɔɪr
baothghlóir,baɔhɣlɔɪr
scrabh,skrav
Dúitseach,dʊɪtsæx
neascóid,næskɔɪd
bánghnéitheach,banɣnɛɪhæx
siotaíl,sɔːtaːl
fachtóir,faxtɔɪr
gabhdóg,ɡavdɔɡ
mírath,mɪrah
dabha,dava
vearúca,værʊka
drochsheans,drɔxhæns
bómántacht,bɔmantaxt
spárálaí,sparalaː
seasta,sæsta
leisíneach,lɛɪsɪnæx
durnánaí,dʊrnanaː
niatacht,nɪataxt
táibhleach,taɪvlæx
comhdhéanta,kɔvɣɛanta
réal,rɛal
feochraigh,fɔːxraːɣ
