hanesyddol,hanesyddol,Adj,Adj.masc.sg,6
anwadal,anwadal,Adj,Adj.masc.sg,1
gogoneddus,gogoneddus,Adj,Adj.masc.sg,3
unig,unig,Adj,Adj.masc.sg,52
isel,isel,Adj,Adj.masc.sg,13
cyffredin,cyffredin,Adj,Adj.masc.sg,10
gwledig,gwledig,Adj,Adj.masc.sg,1
ddwyreiniol,dwyreiniol,Adj,Adj.masc.sg,2
eithaf,eithaf,Adj,Adj.masc.sg,8
eang,eang,Adj,Adj.masc.sg,7
ysgythrog,ysgithrog,Adj,Adj.masc.sg,2
oesol,oesol,Adj,Adj.masc.sg,1
ddaer,daer,Adj,Adj.masc.sg,1
las,glas,Adj,Adj.masc.sg,17
awyddus,awyddus,Adj,Adj.masc.sg,8
chraff,craff,Adj,Adj.masc.sg,1
aflonydd,llonydd,Adj,Adj.masc.sg,1
olaf,olaf,Adj,Adj.masc.sg,29
hynaf,hynaf,Adj,Adj.masc.sg,3
ieuanc,ieuanc,Adj,Adj.masc.sg,34
brydweddol,prydweddol,Adj,Adj.masc.sg,2
brydferth,prydferth,Adj,Adj.masc.sg,4
theg,teg,Adj,Adj.masc.sg,1
bur,pur,Adj,Adj.masc.sg,6
llwyd,llwyd,Adj,Adj.masc.sg,8
brudd,prudd,Adj,Adj.masc.sg,10
diamheuol,diamheuol,Adj,Adj.masc.sg,1
tyner,tyner,Adj,Adj.masc.sg,6
llawn,llawn,Adj,Adj.masc.sg,35
llaith,llaith,Adj,Adj.masc.sg,4
annhrefnus,anhrefnus,Adj,Adj.masc.sg,1
anwyl,anwyl,Adj,Adj.masc.sg,66
prin,prin,Adj,Adj.masc.sg,14
lawen,llawen,Adj,Adj.masc.sg,6
ysgafn,ysgafn,Adj,Adj.masc.sg,15
dwys,dwys,Adj,Adj.masc.sg,7
flaenaf,blaen,Adj,Adj.seith,2
ernest,ernest,Adj,Adj.masc.sg,25
enbyd,enbyd,Adj,Adj.masc.sg,8
rhwym,rhwym,Adj,Adj.masc.sg,3
cam,cam,Adj,Adj.masc.sg,3
sicr,sicr,Adj,Adj.masc.sg,21
bosibl,posibl,Adj,Adj.masc.sg,13
uchel,uchel,Adj,Adj.masc.sg,21
cynifer,cynifer,Adj,Adj.masc.sg,1
llwyr,llwyr,Adj,Adj.masc.sg,13
gwelw,gwelw,Adj,Adj.masc.sg,2
helaeth,helaeth,Adj,Adj.masc.sg,6
serchog,serchog,Adj,Adj.masc.sg,1
phoenus,poen,Adj,Adj.masc.sg,1
ddiweddar,diweddar,Adj,Adj.masc.sg,7
ufudd,ufudd,Adj,Adj.masc.sg,2
frysiog,brysiog,Adj,Adj.masc.sg,4
waeth,drwg,Adj,Adj.cym,38
ddwyn,dwyn,Adj,Adj.masc.sg,1
fechan,fechan,Adj,Adj.fem.sg,28
union,union,Adj,Adj.masc.sg,28
siomedig,siomedig,Adj,Adj.masc.sg,1
gryf,cryf,Adj,Adj.masc.sg,6
oeraidd,oeraidd,Adj,Adj.masc.sg,1
aml,aml,Adj,Adj.masc.sg,7
agos,agos,Adj,Adj.masc.sg,23
hawdd,hawdd,Adj,Adj.masc.sg,17
bychan,bychan,Adj,Adj.masc.sg,44
cynt,cynt,Adj,Adj.masc.sg,12
