gan,gan,Prep,Prep,407
yn,yn,Prep,Prep,5174
ond,ond,Prep,Prep,858
ar,ar,Prep,Prep,1664
i,i,Prep,Prep,2083
arno,ar,Prep,Prep.p3.masc.sg,81
o,o,Prep,Prep,1712
i'w,i,Prep,Prep,301
wrth,wrth,Prep,Prep,415
tua,tua,Prep,Prep,68
oddeutu,oddeutu,Prep,Prep,4
a,â,Prep,Prep,327
arni,ar,Prep,Prep.p3.fem.sg,64
at,at,Prep,Prep,182
iddo,i,Prep,Prep.p3.masc.sg,194
hyd,hyd,Prep,Prep,94
mewn,mewn,Prep,Prep,302
ag,â,Prep,Prep,89
wedi,wedi,Prep,Prep,151
erbyn,erbyn,Prep,Prep,59
trwy,trwy,Prep,Prep,97
ganddo,gan,Prep,Prep.p3.masc.sg,43
tuag,tua,Prep,Prep,29
rhwng,rhwng,Prep,Prep,80
atynt,at,Prep,Prep.p3.pl,5
am,am,Prep,Prep,628
chan,gan,Prep,Prep,15
heibio,heibio,Prep,Prep,58
gyda,gyda,Prep,Prep,137
yna,yn,Prep,Prep.p1.sg,27
uwchben,uwchben,Prep,Prep,21
dros,tros,Prep,Prep,106
rhag,rhag,Prep,Prep,63
â,â,Prep,Prep,335
drosti,tros,Prep,Prep.p3.fem.sg,2
oddiwrtho,wrth,Prep,Prep.p3.masc.sg,6
iddi,i,Prep,Prep.p3.fem.sg,80
dan,tan,Prep,Prep,73
fewn,mewn,Prep,Prep,22
iddynt,i,Prep,Prep.p3.pl,23
heb,heb,Prep,Prep,154
oddiwrth,oddiwrth,Prep,Prep,47
dani,tan,Prep,Prep.p3.fem.sg,9
chyn,cyn,Prep,Prep,14
danoch,tan,Prep,Prep.p2.pl,3
arnaf,ar,Prep,Prep.p1.sg,18
'n,yn,Prep,Prep,127
drwy,trwy,Prep,Prep,87
er,er,Prep,Prep,233
ynddi,yn,Prep,Prep.p3.fem.sg,23
rhyngddynt,rhwng,Prep,Prep.p3.pl,6
wrthych,wrth,Prep,Prep.p2.pl,5
ataf,at,Prep,Prep.p1.sg,7
gerbron,gerbron,Prep,Prep,5
ganddi,gan,Prep,Prep.p3.fem.sg,24
thrwy,trwy,Prep,Prep,6
danynt,tan,Prep,Prep.p3.pl,9
wrthi,wrth,Prep,Prep.p3.fem.sg,27
chyda,gyda,Prep,Prep,9
ati,at,Prep,Prep.p3.fem.sg,25
ato,at,Prep,Prep,32
oddiar,oddiar,Prep,Prep,21
cyn,cyn,Prep,Prep,130
chydag,cydag,Prep,Prep,2
arnat,ar,Prep,Prep.p2.sg,10
wrthyf,wrth,Prep,Prep.p1.sg,7
ynglyn,ynglŷn,Prep,Prep,1
gydag,gyda,Prep,Prep,15
ynddo,yn,Prep,Prep.p3.masc.sg,30
ynddynt,yn,Prep,Prep.p3.pl,4
heblaw,heblaw,Prep,Prep,12
dano,tan,Prep,Prep.p3.masc.sg,26
can,gan,Prep,Prep,5
ganddynt,gan,Prep,Prep.p3.pl,2
drwyddo,trwy,Prep,Prep.p3.masc.sg,2
arnoch,ar,Prep,Prep.p2.pl,5
rhagddo,rhag,Prep,Prep.p3.masc.sg,4
wrtho,wrth,Prep,Prep.p3.masc.sg,38
a'th,a'th,Prep,Prep,14
drwyddi,trwy,Prep,Prep.p3.fem.sg,3
gan,can,Prep,Prep,7
âg,â,Prep,Prep,14
ger,ger,Prep,Prep,21
drwyddynt,trwy,Prep,Prep.p3.pl,2
thrwyddo,trwy,Prep,Prep.p3.masc.sg,1
ap,ap,Prep,Prep,9
iti,i,Prep,Prep.p2.sg,42
arnom,ar,Prep,Prep.p1.pl,19
yno,yn,Prep,Prep.p3.masc.sg,20
imi,i,Prep,Prep.p1.sg,69
thros,tros,Prep,Prep,3
dano,tan,Prep,Prep,2
gerllaw,gerllaw,Prep,Prep,11
geir,ger,Prep,Prep,1
yni,yn,Prep,Prep.p3.fem.sg,1
cheir,ger,Prep,Prep,2
efo,efo,Prep,Prep,121
tan,tan,Prep,Prep,46
drostynt,tros,Prep,Prep.p3.pl,1
arnynt,ar,Prep,Prep.p3.pl,7
y'mysg,ymysg,Prep,Prep,1
ceir,ger,Prep,Prep,5
yng,yn,Prep,Prep,83
ym,yn,Prep,Prep,50
thuag,tua,Prep,Prep,1
draws,traws,Prep,Prep,24
mal,mal,Prep,Prep,8
than,tan,Prep,Prep,1
drosom,tros,Prep,Prep.p1.pl,2
arnot,ar,Prep,Prep.p2.sg,1
ech,ech,Prep,Prep,1
namyn,namyn,Prep,Prep,1
chynn,cyn,Prep,Prep,1
cann,gan,Prep,Prep,2
rwng,rhwng,Prep,Prep,1
gennyf,gan,Prep,Prep.p1.sg,18
eir,ger,Prep,Prep,1
a'r,ar,Prep,Prep,3
danat,tan,Prep,Prep.p2.sg,4
tros,tros,Prep,Prep,47
chan,can,Prep,Prep,4
trostynt,tros,Prep,Prep.p3.pl,3
trwyddynt,trwy,Prep,Prep.p3.pl,1
thraws,traws,Prep,Prep,1
gennym,gan,Prep,Prep.p1.pl,12
o,fo,Prep,Prep,15
inni,i,Prep,Prep.p1.pl,32
gennyt,gan,Prep,Prep.p2.sg,2
cher,ger,Prep,Prep,1
atat,at,Prep,Prep.p2.sg,5
ynglŷn,ynglŷn,Prep,Prep,2
trosto,tros,Prep,Prep.p3.masc.sg,2
oddi,oddi,Prep,Prep,17
ymhen,ymhen,Prep,Prep,25
oddigerth,oddigerth,Prep,Prep,1
rhyngot,rhwng,Prep,Prep.p2.sg,1
throsto,tros,Prep,Prep.p3.masc.sg,1
ymysg,ymysg,Prep,Prep,4
arna,ar,Prep,Prep.p1.sg,32
genny,gan,Prep,Prep.p1.sg,1
rhyngo,rhwng,Prep,Prep.p3.masc.sg,1
hebddo,heb,Prep,Prep,2
ynnof,gan,Prep,Prep.p1.sg,1
gen,gan,Prep,Prep,2
âch,ach,Prep,Prep,1
ynghylch,ynghylch,Prep,Prep,10
amdano,am,Prep,Prep.p3.masc.sg,18
drosta,tros,Prep,Prep.p1.sg,3
gerfydd,gerfydd,Prep,Prep,6
hyna,yn,Prep,Prep.p1.sg,6
ers,ers,Prep,Prep,32
amdanyn,am,Prep,Prep.p3.pl,6
ata,at,Prep,Prep.p1.sg,8
wrth,gwrth,Prep,Prep,3
ohoni,o,Prep,Prep.p3.fem.sg,6
gennych,gan,Prep,Prep.p2.pl,4
ohono,o,Prep,Prep.p3.masc.sg,13
arnyn,ar,Prep,Prep.p3.pl,15
wrthyn,wrth,Prep,Prep.p3.pl,3
iddyn,i,Prep,Prep.p3.pl,20
traws,traws,Prep,Prep,2
ynghanol,ynghanol,Prep,Prep,9
drosto,tros,Prep,Prep.p3.masc.sg,2
amdani,am,Prep,Prep.p3.fem.sg,6
rhyngddo,rhwng,Prep,Prep.p3.masc.sg,7
rhyngddyn,rhwng,Prep,Prep.p3.pl,3
ohonyn,o,Prep,Prep.p3.pl,15
amdana,am,Prep,Prep.p1.sg,5
âm,am,Prep,Prep,1
hefo,efo,Prep,Prep,17
trwyddo,trwy,Prep,Prep.p3.masc.sg,3
wrthym,wrth,Prep,Prep.p1.pl,6
ohonom,o,Prep,Prep.p1.pl,9
atyn,at,Prep,Prep.p3.pl,3
oddiwrthi,wrth,Prep,Prep.p3.fem.sg,1
cer,ger,Prep,Prep,1
ynof,yn,Prep,Prep.p1.sg,2
rhynga,rhwng,Prep,Prep,4
