abandoned,əˈbændənd
abashed,əˈbæʃt
abbreviated,əˈbɹiviˌeɪtɪd
abdominal,æbˈdɑmənəɫ
aberrant,æˈbɛɹənt
abhorrent,æbˈhɔɹənt
abiding,əˈbaɪdɪŋ
abject,ˈæbdʒɛkt
ablaze,əˈbɫeɪz
able,ˈeɪbəɫ
abloom,əˈbɫum
abnormal,æbˈnɔɹməɫ
abominable,əˈbɑmənəbəɫ
aboriginal,ˌæbɝˈɪdʒənəɫ
abortifacient,əˌbɔɹtəˈfeɪʃənt
abounding,əˈbaʊndɪŋ
about,əˈbaʊt
above,əˈbəv
aboveboard,əˈbəvˌbɔɹd
abrasive,əˈbɹeɪsɪv
abreast,əˈbɹɛst
abridged,əˈbɹɪdʒd
abrupt,əˈbɹəpt
absent,ˈæbsənt
absolute,ˈæbsəˌɫut
absolutist,æbsəˈɫutɪst
absolved,æbˈzɑɫvd
absorbed,əbˈzɔɹbd
absorbent,əbˈzɔɹbənt
absorbing,əbˈzɔɹbɪŋ
abstinent,ˈæbstənənt
abstract,ˈæbˌstɹækt
abstracted,ˈæbˌstɹæktɪd
absurd,əbˈsɝd
abundant,əˈbəndənt
abused,əbˈjuzd
abusive,əbˈjusɪv
abutting,əˈbətɪŋ
abuzz,əˈbəz
abysmal,əˈbɪzməɫ
academic,ˌækəˈdɛmɪk
acceptable,ækˈsɛptəbəɫ
accepted,ækˈsɛptɪd
accepting,ækˈsɛptɪŋ
accessible,ækˈsɛsəbəɫ
accessory,ækˈsɛsɝi
accidental,ˌæksəˈdɛnəɫ
accommodating,əˈkɑməˌdeɪtɪŋ
accommodative,əˈkɑməˌdeɪtɪv
accompanied,əˈkəmpənid
accomplished,əˈkɑmpɫɪʃt
according,əˈkɔɹdɪŋ
accountable,əˈkaʊnəbəɫ
accredited,əˈkɹɛdɪtɪd
accumulative,əkˈjumjəˌɫeɪtɪv
accurate,ˈækjɝət
accursed,ˌæˈkɝst
accustomed,əˈkəstəmd
ace,ˈeɪs
acetic,əˈsɛtɪk
aching,ˈeɪkɪŋ
acid,ˈæsəd
acidic,əˈsɪdɪk
acknowledgeable,ækˈnɑɫɪdʒəbəɫ
acknowledged,ækˈnɑɫɪdʒd
acoustic,əˈkustɪk
acquired,əˈkwaɪɝd
acquisitive,əˈkwɪzətɪv
acquitted,əˈkwɪtɪd
acrimonious,ˌækɹəˈmoʊniəs
acrobatic,ˌækɹəˈbætɪk
acting,ˈæktɪŋ
actionable,ˈækʃənəbəɫ
activated,ˈæktəˌveɪtɪd
activating,ˈæktəˌveɪtɪŋ
active,ˈæktɪv
activist,ˈæktəvəst
actual,ˈækʃəɫ
actuarial,ˌækˌtʃuˈɛɹiəɫ
acute,əkˈjut
adapted,əˈdæptɪd
adaptive,əˈdæptɪv
addicted,əˈdɪktɪd
addictive,əˈdɪktɪv
additive,ˈædətɪv
addled,ˈædəɫd
addressable,əˈdɹɛsəbəɫ
addressed,əˈdɹɛst
adenoid,ˈædəˌnɔɪd
adept,əˈdɛpt
adequate,ˈædəˌkweɪt
adherent,ədˈhɪɹənt
adhesive,ædˈhisɪv
adjacent,əˈdʒeɪsənt
adjective,ˈædʒɪktɪv
adjunct,ˈæˌdʒəŋkt
adjustable,əˈdʒəstəbəɫ
adjusted,əˈdʒəstɪd
administrative,ədˈmɪnəˌstɹeɪtɪv
admirable,ˈædmɝəbəɫ
admired,ədˈmaɪɝd
admiring,ædˈmaɪɹɪŋ
admissible,ədˈmɪsəbəɫ
admonitory,ˌædˈmɔnɪˌtɔɹi
adolescent,ˌædəˈɫɛsənt
adoptable,əˈdɑptəbəɫ
adopted,əˈdɑptɪd
adoptive,əˈdɑptɪv
adorable,əˈdɔɹəbəɫ
adored,əˈdɔɹd
adoring,əˈdɔɹɪŋ
adorned,əˈdɔɹnd
adrenal,əˈdɹinəɫ
adrenergic,ədɹɛˈnɛɹdʒɪk
adrift,əˈdɹɪft
adroit,əˈdɹɔɪt
adult,ˈædəɫt
adulterate,əˈdəɫtɝˌeɪt
adulterous,əˈdəɫtɝəs
advance,ədˈvæns
advanced,ədˈvænst
advancing,ədˈvænsɪŋ
advantageous,ˌædvənˈteɪdʒəs
adventurous,ædˈvɛntʃɝəs
adverbial,ædˈvɝbiəɫ
advertised,ˈædvɝˌtaɪzd
advisable,ədˈvaɪzəbəɫ
advised,ædˈvaɪzd
advisory,ædˈvaɪzɝi
aerobic,ɛˈɹoʊbɪk
aerodynamic,ˌɛɹoʊdaɪˈnæmɪk
aeronautical,ˌɛɹəˈnɑtəkəɫ
aesthetic,ɛsˈθɛtɪk
affected,əˈfɛktɪd
affecting,əˈfɛktɪŋ
afferent,ˈæfɝənt
affiliated,əˈfɪɫiˌeɪtɪd
affine,əˈfaɪn
affined,əˈfaɪnd
affirmative,əˈfɝmətɪv
affixed,əˈfɪkst
afflicted,əˈfɫɪktɪd
affluent,ˈæfɫuənt
afloat,əˈfɫoʊt
afoot,əˈfʊt
aforesaid,əˈfɔɹˌsɛd
aforethought,əˈfɔɹˌθɑt
afoul,əˈfaʊɫ
afraid,əˈfɹeɪd
agape,əˈɡeɪp
aged,ˈeɪdʒd
ageless,ˈeɪdʒɫəs
agglomerate,əˈɡɫɑmɝˌeɪt
agglutinate,əˈɡɫutɪˌneɪt
aggravated,ˈæɡɹəˌveɪtɪd
aggravating,ˈæɡɹəˌveɪtɪŋ
aggregate,ˈæɡɹəɡeɪt
aggressive,əˈɡɹɛsɪv
aghast,əˈɡæst
agile,ˈædʒəɫ
aging,ˈeɪdʒɪŋ
agitated,ˈædʒəˌteɪtɪd
agleam,əˈɡɫim
aglitter,əˈɡɫɪtɝ
agnostic,æɡˈnɑstɪk
ago,əˈɡoʊ
agonized,ˈæɡəˌnaɪzd
agonizing,ˈæɡənaɪzɪŋ
agrarian,əˈɡɹɛɹiən
agreeable,əˈɡɹiəbəɫ
agreed,əˈɡɹid
agricultural,ˌæɡɹəˈkəɫtʃɝəɫ
aground,əˈɡɹaʊnd
ahead,əˈhɛd
ailing,ˈeɪɫɪŋ
aimless,ˈeɪmɫəs
airborne,ˈɛɹˌbɔɹn
aired,ˈɛɹd
airless,ˈɛɹɫəs
airtight,ˈɛɹˌtaɪt
airworthy,ˈɛɹˌwɝði
airy,ˈɛɹi
ajar,əˈdʒɑɹ
akimbo,əˈkɪmˌboʊ
akin,ˈeɪkɪn
alabaster,ˈæɫəˌbæstɝ
alar,ˈeɪˌɫɑɹ
alarmed,əˈɫɑɹmd
alarming,əˈɫɑɹmɪŋ
alcoholic,ˌæɫkəˈhɑɫɪk
aleatory,ˈeɪɫiəˌtɔɹi
alert,əˈɫɝt
algal,ˈæɫɡəɫ
algebraic,ˌæɫdʒəˈbɹeɪɪk
algorithmic,ˈæɫɡɝˌɪðəmɪk
alien,ˈeɪɫiən
alienated,ˈeɪɫiəˌneɪtɪd
alienating,ˈeɪɫiəˌneɪtɪŋ
aligned,əˈɫaɪnd
aligning,əˈɫaɪnɪŋ
alike,əˈɫaɪk
alimentary,ˌæɫəˈmɛntɝi
alive,əˈɫaɪv
alkaline,ˈæɫkəˌɫaɪn
alkaloidal,æɫkəˈɫɔɪdəɫ
all,ˈɔɫ
alleged,əˈɫɛdʒd
allegorical,ˌæɫəˈɡɔɹəkəɫ
allelic,əˈɫɛɫɪk
allergenic,ˈæɫɝdʒənɪk
allergic,əˈɫɝdʒɪk
alleviated,əˈɫiviˌeɪtɪd
allied,ˈæˌɫaɪd
alliterative,əˈɫɪtɝˌeɪtɪv
allophonic,ˌæɫəˈfɑnɪk
allowable,əˈɫaʊəbəɫ
alluring,əˈɫʊɹɪŋ
allusive,əˈɫusɪv
alluvial,ˌæˈɫuviəɫ
almighty,ɔɫˈmaɪti
alone,əˈɫoʊn
alpha,ˈæɫfə
alphabetic,ˌæɫfəˈbɛtɪk
alphabetized,ˈæɫfəbəˌtaɪzd
alphanumeric,ˌæɫfənuˈmɛɹɪk
alpine,ˈæɫˌpaɪn
alright,ˌɔɫˈɹaɪt
altered,ˈɔɫtɝd
alternate,ˈɔɫtɝˌneɪt
alternating,ˈɔɫtɝˌneɪtɪŋ
alternative,ɔɫˈtɝnətɪv
alto,ˈæɫtoʊ
altruistic,ˌɔɫtɹuˈɪstɪk
alveolar,æɫˈviəɫɝ
amalgamate,əˈmæɫɡəˌmeɪt
amalgamated,əˈmæɫɡəˌmeɪtɪd
amateur,ˈæməˌtɝ
amateurish,ˈæməˌtʃɝɪʃ
amazed,əˈmeɪzd
amazing,əˈmeɪzɪŋ
ambassadorial,æmˌbæsəˈdɔɹiəɫ
amber,ˈæmbɝ
ambidextrous,ˌæmbəˈdɛkstɹəs
ambient,ˈæmbiənt
ambiguous,æmˈbɪɡjuəs
ambitious,æmˈbɪʃəs
ambivalent,æmˈbɪvəɫənt
ambrosial,æmˈbɹoʊʒəɫ
ambulatory,ˈæmbjəɫəˌtɔɹi
amenable,əˈmɛnəbəɫ
amendable,əˈmɛndəbəɫ
amended,əˈmɛndɪd
amethyst,ˈæmɪθɪst
amicable,ˈæmɪkəbəɫ
amino,əˈminoʊ
amniotic,ˈæmniɔtɪk
amoebic,əˈmibɪk
amorphous,əˈmɔɹfəs
amphibious,æmˈfɪbiəs
ample,ˈæmpəɫ
amuck,əˈmək
amused,əmˈjuzd
amusing,əmˈjuzɪŋ
anabolic,ˌænəˈbɑɫɪk
anaerobic,ˌænɝˈoʊbɪk
anal,ˈeɪnəɫ
analgesic,ˌænəɫˈdʒisɪk
analogous,əˈnæɫəɡəs
analogue,ˈænəˌɫɔɡ
analytic,ˌænəˈɫɪtɪk
analyzable,ˈænəˌɫaɪzəbəɫ
analyzed,ˈænəˌɫaɪzd
anaplastic,ˌænəˈpɫæstɪk
anarchic,æˈnɑɹkɪk
anatomic,ˌænəˈtɑmɪk
ancestral,ænˈsɛstɹəɫ
ancient,ˈeɪnʃənt
androgynous,ænˈdɹɔdʒənəs
anecdotal,ˌænəkˈdoʊtəɫ
anemic,əˈnimɪk
anesthetic,ˌænəsˈθɛtɪk
angelic,ˌænˈdʒɛɫɪk
angered,ˈæŋɡɝd
angled,ˈæŋɡəɫd
angry,ˈæŋɡɹi
anguished,ˈæŋɡwɪʃt
angular,ˈæŋɡjəɫɝ
animal,ˈænəməɫ
animate,ˈænəˌmeɪt
animated,ˈænəˌmeɪtɪd
animating,ˌænəˈmeɪtɪŋɡ
animist,ˈænəməst
annelid,ˈænəɫɪd
annihilated,əˈnaɪəˌɫeɪtɪd
annihilating,əˈnaɪəˌɫeɪtɪŋ
announced,əˈnaʊnst
annoyed,əˈnɔɪd
annoying,əˈnɔɪɪŋ
annual,ˈænjuəɫ
annular,ˈænjəɫɝ
anomalous,əˈnɑməɫəs
anonymous,əˈnɑnəməs
another,əˈnəðɝ
answerable,ˈænsɝəbəɫ
answering,ˈænsɝɪŋ
antacid,ænˈtæsəd
antagonistic,ænˌtæɡəˈnɪstɪk
antebellum,ˌæntɪˈbɛɫəm
antecedent,ˌænˈtɛsədənt
antemeridian,ˌæntəmɛˈɹɪdiən
antemortem,æntəˈmɔɹtəm
anterior,ænˈtɪɹiɝ
anthropocentric,ˌænθɹəpəˈsɛntɹɪk
anthropological,ˌænθɹəpəˈɫɑdʒəkəɫ
anthropomorphic,ˌænθɹəpəˈmɔɹfɪk
anti,ˈænˌtaɪ
antiaircraft,ˌæntaɪˈɛɹˌkɹæft
antibacterial,ˌæntibækˈtɪɹiəɫ
antibiotic,ˌæntaɪbaɪˈɑtɪk
anticancer,ˌænˌtaɪˈkænsɝ
anticipatory,ænˈtɪsəpəˌtɔɹi
anticlimactic,ˌæntikɫaɪˈmæktɪk
antiknock,ˌæntiˈnɑk
antipersonnel,ˌæntipɝsəˈnɛɫ
antipodal,ænˈtɪpədəɫ
antique,ænˈtik
antiseptic,ˌæntəˈsɛptɪk
antisocial,ˌæntaɪˈsoʊʃəɫ
antisubmarine,ˌæntaɪˈsəbmɝˌin
antitank,ˌæntiˈtæŋk
antiviral,ˌæntiˈvaɪɹəɫ
antlered,ˈæntɫɝd
anxious,ˈæŋkʃəs
any,ˈɛni
apart,əˈpɑɹt
apathetic,ˌæpəˈθɛtɪk
