aardvark,ˈɑɹdˌvɑɹk
aba,ˌeɪˌbiˈeɪ
abacus,ˈæbəkəs
abalone,ˌæbəˈɫoʊni
abandon,əˈbændən
abandonment,əˈbændənmənt
abatement,əˈbeɪtmənt
abattoir,ˌæbətˈwɑɹ
abbe,ˈæbi
abbey,ˈæbi
abbot,ˈæbət
abbreviation,əˌbɹiviˈeɪʃən
abdication,ˌæbdɪˈkeɪʃən
abdomen,ˈæbdəmən
abdominal,æbˈdɑmənəɫ
abduction,æbˈdəkʃən
aberrant,æˈbɛɹənt
aberration,ˌæbɝˈeɪʃən
abeyance,əˈbeɪəns
abhorrence,əbˈhɔɹəns
ability,əˈbɪɫəˌti
ablation,ˌəˈbɫeɪʃən
ablution,əˈbɫuʃən
abnegation,ˌæbnɛˈɡeɪʃən
abnormality,ˌæbnɔɹˈmæɫəti
abolition,ˌæbəˈɫɪʃən
abolitionism,ˌæbəˈɫɪʃəˌnɪzəm
abolitionist,ˌæbəˈɫɪʃənəst
abomination,əˌbɑməˈneɪʃən
abort,əˈbɔɹt
abortifacient,əˌbɔɹtəˈfeɪʃənt
abortion,əˈbɔɹʃən
abortionist,əˈbɔɹʃənɪst
above,əˈbəv
abracadabra,ˌæbɹəkəˈdæbɹə
abrasion,əˈbɹeɪʒən
abrasive,əˈbɹeɪsɪv
abrogation,ˌæbɹəˈɡeɪʃən
abruptness,əˈbɹəptnəs
abscess,ˈæbˌsɛs
absence,ˈæbsəns
absentee,ˌæbsənˈti
absenteeism,ˌæbsənˈtiɪzəm
absolute,ˈæbsəˌɫut
absoluteness,ˈæbsəˌɫutnəs
absolution,ˌæbsəˈɫuʃən
absolutism,ˈæbsəˌɫuˌtɪzəm
absolutist,æbsəˈɫutɪst
absorbency,əbˈzɔɹbənsi
absorption,əbˈsɔɹpʃən
abstinence,ˈæbstənəns
abstraction,æbˈstɹækʃən
absurd,əbˈsɝd
absurdity,əbˈsɝdəti
abundance,əˈbəndəns
abuse,əbˈjus
abuser,əbˈjuzɝ
abyss,əˈbɪs
academia,ˌækəˈdimiə
academician,ˌækədəˈmɪʃən
academy,əˈkædəmi
acceleration,ˌækˌsɛɫɝˈeɪʃən
accelerator,ækˈsɛɫɝˌeɪtɝ
accelerometer,ækˌsɛɫɝˈɑmətɝ
accent,ˈækˌsɛnt
acceptability,əkˌsɛptəˈbɪɫəti
acceptance,ækˈsɛptəns
access,ˈækˌsɛs
accession,əkˈsɛʃən
accessory,ækˈsɛsɝi
accident,ˈæksədənt
acclaim,əˈkɫeɪm
accommodation,əˌkɑməˈdeɪʃən
accompaniment,əˈkəmpnimənt
accompanist,əˈkəmpənəst
accomplice,əˈkɑmpɫəs
accomplishment,əˈkɑmpɫɪʃmənt
accord,əˈkɔɹd
accordance,əˈkɔɹdəns
accordion,əˈkɔɹdiən
account,əˈkaʊnt
accountability,əˈkaʊnəbɪɫɪti
accountancy,əˈkaʊntənsi
accountant,əˈkaʊntənt
accounting,əˈkaʊnɪŋ
accreditation,əˌkɹɛdəˈteɪʃən
accretion,əˈkɹiʃən
accumulation,əkˌjumjəˈɫeɪʃən
accumulator,əkˈjumjəˌɫeɪtɝ
accuracy,ˈækjɝəsi
accusation,ˌækjəˈzeɪʃən
accusative,əkˈjuzətɪv
accused,əkˈjuzd
accuser,əkˈjuzɝ
ace,ˈeɪs
acetaminophen,əˌsitəˈmɪnəfən
ache,ˈeɪk
achiever,əˈtʃivɝ
acid,ˈæsəd
acidification,əˌsɪdəfəˈkeɪʃən
acidity,əˈsɪdəti
acidosis,ˌæsəˈdoʊsəs
acknowledgment,ækˈnɑɫɪdʒmənt
acme,ˈækmi
acne,ˈækni
acolyte,ˈækəˌɫaɪt
acoustic,əˈkustɪk
acoustics,əˈkustɪks
acquaintance,əˈkweɪntəns
acquiescence,ˌækwiˈɛsəns
acquirer,əˈkwaɪɝɝ
acquiring,əˈkwaɪɝɪŋ
acquisition,ˌækwəˈzɪʃən
acquittal,əˈkwɪtəɫ
acre,ˈeɪkɝ
acreage,ˈeɪkɝɪdʒ
acrobat,ˈækɹəˌbæt
acrobatics,ˌækɹəˈbætɪks
acronym,ˈækɹənɪm
acropolis,əˈkɹɑpəɫəs
acrylic,əˈkɹɪɫɪk
act,ˈækt
acting,ˈæktɪŋ
actinomycosis,ˌækˌtɪnoʊˌmaɪˈkoʊsɪs
action,ˈækʃən
activation,ˌæktəˈveɪʃən
active,ˈæktɪv
activism,ˈæktɪˌvɪzəm
activity,ækˈtɪvəti
actor,ˈæktɝ
actress,ˈæktɹəs
actuality,ˌæktʃuˈæɫəˌti
actuator,ˈæktjuˌeɪtɝ
acuity,əkˈjuəti
acumen,əkˈjumən
acupuncture,ˈækjuˌpəŋktʃɝ
acuteness,əkˈjutnəs
acyclovir,əˈsɪkɫoʊˌvɪɹ
ad,ˈæd
adagio,əˈdɑʒiˌoʊ
adaptability,əˌdæptəˈbɪɫəti
adaptation,ˌædəpˈteɪʃən
adapter,əˈdæptɝ
addendum,əˈdɛndəm
adder,ˈædɝ
addict,ˈæˌdɪkt
addiction,əˈdɪkʃən
addition,əˈdɪʃən
additive,ˈædətɪv
address,ˈæˌdɹɛs
addressee,ˌædɹɛˈsi
adenovirus,əˈdɛnəˌvaɪɹəs
adequacy,ˈædəkwəsi
adhesion,ædˈhiʒən
adjective,ˈædʒɪktɪv
adjournment,əˈdʒɝnmənt
adjudication,əˌdʒudəˈkeɪʃən
adjunct,ˈæˌdʒəŋkt
adjuster,əˈdʒəstɝ
adjustment,əˈdʒəstmənt
adjutant,ˈædʒətənt
administration,ædˌmɪnɪˈstɹeɪʃən
administrator,ədˈmɪnəˌstɹeɪtɝ
admiral,ˈædmɝəɫ
admiralty,ˈædmɝəɫti
admiration,ˌædmɝˈeɪʃən
admirer,ædˈmaɪɹɝ
admissibility,ədˌmɪsəˈbɪɫəti
admission,ædˈmɪʃən
admonition,ˌædməˈnɪʃən
