aback,əˈbæk
abed,əˈbɛd
abnormally,æbˈnɔɹməɫi
aboard,əˈbɔɹd
about,əˈbaʊt
above,əˈbəv
abreast,əˈbɹɛst
abroad,əˈbɹɔd
abruptly,əˈbɹəptɫi
absolutely,ˌæbsəˈɫutɫi
absurdly,əbˈsɝdɫi
abundantly,əˈbəndəntɫi
academically,ˌækəˈdɛmɪkɫi
acceptably,ækˈsɛptəbɫi
accordingly,əˈkɔɹdɪŋɫi
accurately,ˈækjɝətɫi
accusingly,əkˈjuzɪŋɫi
acoustically,əˈkustɪkɫi
across,əˈkɹɔs
actively,ˈæktɪvɫi
actually,ˈækˌtʃuəɫi
acutely,əkˈjutɫi
adagio,əˈdɑʒiˌoʊ
adamantly,ˈædəməntɫi
additionally,əˈdɪʃəˌnəɫi
adequately,ˈædəkwətɫi
administratively,ædˌmɪnəˈstɹeɪtɪvɫi
admirably,ˈædmɝəbɫi
admiringly,ædˈmaɪɹɪŋɫi
adrift,əˈdɹɪft
adversely,ædˈvɝsɫi
aesthetically,ɛsˈθɛtɪkɫi
afar,əˈfɑɹ
affably,ˈæfəbɫi
affirmatively,əˈfɝmətɪvɫi
afield,əˈfiɫd
afoot,əˈfʊt
afresh,əˈfɹɛʃ
aft,ˈæft
after,ˈæftɝ
again,əˈɡeɪn
aggressively,əˈɡɹɛsɪvɫi
ago,əˈɡoʊ
agonizingly,ˈæɡəˌnaɪzɪŋˌɫi
aground,əˈɡɹaʊnd
ahead,əˈhɛd
aimlessly,ˈeɪmɫəsɫi
akimbo,əˈkɪmˌboʊ
alarmingly,əˈɫɑɹmɪŋɫi
alertly,əˈɫɝtɫi
algebraically,ˌæɫdʒəˈbɹeɪɪkɫi
alias,ˈeɪɫiəs
alike,əˈɫaɪk
allegedly,əˈɫɛdʒədɫi
allegro,əˈɫɛˌɡɹoʊ
aloft,əˈɫɔft
alone,əˈɫoʊn
along,əˈɫɔŋ
aloof,əˈɫuf
aloud,əˈɫaʊd
alphabetically,ˌæɫfəˈbɛtɪkɫi
already,ɔˈɹɛdi
alternately,ˈɔɫtɝnətɫi
alternatively,ɔɫˈtɝnətɪvɫi
altogether,ˌɔɫtəˈɡɛðɝ
always,ˈɔɫˌweɪz
amazingly,əˈmeɪzɪŋɫi
ambitiously,æmˈbɪʃəsɫi
amicably,ˈæmɪkəbɫi
amidships,əˈmɪdʃɪps
amiss,əˈmɪs
amok,əˈmək
amply,ˈæmpɫi
analytically,ˌænəˈɫɪtɪkɫi
anatomically,ˌænəˈtɑməkɫi
andante,ɑnˈdɑnteɪ
angelically,ænˈdʒɛɫɪkɫi
angrily,ˈæŋɡɹəɫi
annually,ˈænjuəɫi
anon,ˌæˈnɔn
anonymously,əˈnɑnəməsɫi
anxiously,ˈæŋkʃəsɫi
any,ˈɛni
anyhow,ˈɛniˌhaʊ
anymore,ˌɛniˈmɔɹ
anywhere,ˈɛniˌwɛɹ
apart,əˈpɑɹt
apologetically,əˌpɑɫəˈdʒɛtɪˌkɫi
appallingly,əˈpɔɫɪŋɫi
apparently,əˈpɛɹəntɫi
appealingly,əˈpiɫɪŋɫi
appreciably,əˈpɹiʃəbɫi
appreciatively,əˈpɹiʃiˌeɪtɪvɫi
appropriately,əˈpɹoʊpɹiɪtɫi
approvingly,əˈpɹuvɪŋɫi
approximately,əˈpɹɑksəmətɫi
architecturally,ˌɑɹkɪˈtɛktʃɝəɫi
archly,ˈɑɹtʃɫi
ardently,ˈɑɹdəntɫi
arguably,ˈɑɹɡjuəbɫi
around,ɝˈaʊn
arrogantly,ˈɛɹəɡəntɫi
artfully,ˈɑɹtfəɫi
artificially,ˌɑɹtəˈfɪʃəɫi
artistically,ɑɹˈtɪstɪkɫi
ashore,əˈʃɔɹ
aside,əˈsaɪd
askance,əˈskæns
askew,əˈskju
asleep,əˈsɫip
assertively,əˈsɝtɪvɫi
assiduously,əˈsɪdwəsɫi
assuredly,əˈʃʊɹədɫi
astray,əˈstɹeɪ
astride,əˈstɹaɪd
astronomically,ˌæstɹəˈnɑmɪkɫi
astutely,əˈstutɫi
athwart,əθˈwɔɹt
atop,əˈtɑp
attentively,əˈtɛntɪvɫi
audibly,ˈɑdəbɫi
austerely,ˌɔˈstɪɹɫi
authentically,ˌɔˈθɛnɪkɫi
authoritatively,əˌθɔɹəˈteɪtɪvɫi
automatically,ˌɔtəˈmætɪkɫi
avidly,ˈævədɫi
avowedly,əˈvaʊədɫi
away,əˈweɪ
awhile,əˈwaɪɫ
